name,repo_clone_url,age,releases_number,stargazers
Material-Animations,https://github.com/lgvalle/Material-Animations,7.0,0,13557
QMUI_Android,https://github.com/Tencent/QMUI_Android,5.0,35,13511
SpringBoot-Labs,https://github.com/YunaiV/SpringBoot-Labs,3.0,0,13521
elasticsearch-analysis-ik,https://github.com/medcl/elasticsearch-analysis-ik,10.0,158,13512
material-components-android,https://github.com/material-components/material-components-android,5.0,50,13495
leetcode,https://github.com/doocs/leetcode,3.0,19,13475
presto,https://github.com/prestodb/presto,9.0,0,13302
logger,https://github.com/orhanobut/logger,7.0,16,13216
JustAuth,https://github.com/justauth/JustAuth,3.0,45,13199
Android-PickerView,https://github.com/Bigkoo/Android-PickerView,7.0,0,13087
APIJSON,https://github.com/Tencent/APIJSON,5.0,86,13051
VirtualXposed,https://github.com/android-hacker/VirtualXposed,4.0,49,13025
Luban,https://github.com/Curzibn/Luban,5.0,6,12884
bytecode-viewer,https://github.com/Konloch/bytecode-viewer,7.0,57,12841
vert.x,https://github.com/eclipse-vertx/vert.x,10.0,0,12810
mockito,https://github.com/mockito/mockito,9.0,185,12748
Arduino,https://github.com/arduino/Arduino,11.0,37,12704
mybatis-plus,https://github.com/baomidou/mybatis-plus,5.0,22,12640
jdk,https://github.com/openjdk/jdk,3.0,0,12609
greenDAO,https://github.com/greenrobot/greenDAO,10.0,8,12511
stetho,https://github.com/facebook/stetho,7.0,13,12468
hadoop,https://github.com/apache/hadoop,7.0,0,12436
deeplearning4j,https://github.com/eclipse/deeplearning4j,8.0,0,12403
Algorithms,https://github.com/williamfiset/Algorithms,5.0,0,12311
AndroidAutoSize,https://github.com/JessYanCoding/AndroidAutoSize,3.0,14,12249
Matisse,https://github.com/zhihu/Matisse,5.0,15,12232
AndroidSwipeLayout,https://github.com/daimajia/AndroidSwipeLayout,7.0,18,12193
pinpoint,https://github.com/pinpoint-apm/pinpoint,7.0,50,12095
AndroidViewAnimations,https://github.com/daimajia/AndroidViewAnimations,7.0,9,12063
flink-learning,https://github.com/zhisheng17/flink-learning,3.0,0,11942
banner,https://github.com/youth5201314/banner,6.0,0,11856
keycloak,https://github.com/keycloak/keycloak,8.0,19,11834
antlr4,https://github.com/antlr/antlr4,12.0,23,11839
termux-app,https://github.com/termux/termux-app,6.0,89,11845
zuul,https://github.com/Netflix/zuul,9.0,5,11824
openapi-generator,https://github.com/OpenAPITools/openapi-generator,3.0,45,11680
jib,https://github.com/GoogleContainerTools/jib,4.0,136,11644
druid,https://github.com/apache/druid,9.0,48,11639
spring-analysis,https://github.com/seaswalker/spring-analysis,5.0,0,11537
VasSonic,https://github.com/Tencent/VasSonic,4.0,10,11489
piggymetrics,https://github.com/sqshq/piggymetrics,7.0,2,11448
BigData-Notes,https://github.com/heibaiying/BigData-Notes,3.0,0,11464
caffeine,https://github.com/ben-manes/caffeine,7.0,59,11351
PictureSelector,https://github.com/LuckSiege/PictureSelector,5.0,105,11352
thingsboard,https://github.com/thingsboard/thingsboard,5.0,48,11326
realm-java,https://github.com/realm/realm-java,10.0,0,11268
Auto.js,https://github.com/hyb1996/Auto.js,5.0,0,11225
SlidingMenu,https://github.com/jfeinstein10/SlidingMenu,9.0,0,11172
androidannotations,https://github.com/androidannotations/androidannotations,10.0,0,11168
eureka,https://github.com/Netflix/eureka,9.0,142,11164
uCrop,https://github.com/Yalantis/uCrop,6.0,15,11119
lombok,https://github.com/projectlombok/lombok,12.0,3,11045
Mybatis-PageHelper,https://github.com/pagehelper/Mybatis-PageHelper,7.0,9,11021
jd-gui,https://github.com/java-decompiler/jd-gui,7.0,18,11005
PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,6.0,40,10908
guice,https://github.com/google/guice,7.0,15,10858
vlayout,https://github.com/alibaba/vlayout,5.0,34,10831
DataX,https://github.com/alibaba/DataX,4.0,0,10816
spring-boot-admin,https://github.com/codecentric/spring-boot-admin,7.0,68,10745
mall-learning,https://github.com/macrozheng/mall-learning,3.0,0,10734
android-async-http,https://github.com/android-async-http/android-async-http,11.0,3,10656
pulsar,https://github.com/apache/pulsar,5.0,53,10575
FlycoTabLayout,https://github.com/H07000223/FlycoTabLayout,6.0,4,10570
FileDownloader,https://github.com/lingochamp/FileDownloader,6.0,65,10493
fullstack-tutorial,https://github.com/frank-lam/fullstack-tutorial,4.0,0,10428
JiaoZiVideoPlayer,https://github.com/lipangit/JiaoZiVideoPlayer,6.0,78,10419
okhttp-OkGo,https://github.com/jeasonlzy/okhttp-OkGo,6.0,14,10412
jedis,https://github.com/redis/jedis,11.0,65,10354
RxPermissions,https://github.com/tbruyelle/RxPermissions,6.0,11,10322
zookeeper,https://github.com/apache/zookeeper,13.0,0,10319
webmagic,https://github.com/code4craft/webmagic,9.0,20,10309
interview,https://github.com/mission-peace/interview,7.0,0,10306
ViewPagerIndicator,https://github.com/JakeWharton/ViewPagerIndicator,10.0,0,10216
ImmersionBar,https://github.com/gyf-dev/ImmersionBar,5.0,0,10215
MVPArms,https://github.com/JessYanCoding/MVPArms,5.0,25,10154
mit-deep-learning-book-pdf,https://github.com/janishar/mit-deep-learning-book-pdf,5.0,3,10117
SmarterStreaming,https://github.com/daniulive/SmarterStreaming,6.0,0,9983
platform_frameworks_base,https://github.com/aosp-mirror/platform_frameworks_base,13.0,0,9926
neo4j,https://github.com/neo4j/neo4j,9.0,72,9866
algorithm-base,https://github.com/chefyuan/algorithm-base,1.0,0,9842
CtCI-6th-Edition,https://github.com/careercup/CtCI-6th-Edition,6.0,0,9754
Fragmentation,https://github.com/YoKeyword/Fragmentation,6.0,30,9720
auto,https://github.com/google/auto,8.0,55,9679
android-Ultra-Pull-To-Refresh,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh,7.0,8,9663
Java,https://github.com/DuGuQiuBai/Java,6.0,0,9664
Android-ObservableScrollView,https://github.com/ksoichiro/Android-ObservableScrollView,7.0,0,9625
quarkus,https://github.com/quarkusio/quarkus,3.0,166,9614
AVLoadingIndicatorView,https://github.com/HarlonWang/AVLoadingIndicatorView,6.0,1,9605
glide-transformations,https://github.com/wasabeef/glide-transformations,7.0,0,9602
dex2jar,https://github.com/pxb1988/dex2jar,7.0,6,9586
react-native-camera,https://github.com/react-native-camera/react-native-camera,7.0,144,9565
grpc-java,https://github.com/grpc/grpc-java,7.0,110,9557
javapoet,https://github.com/square/javapoet,9.0,0,9489
PocketHub,https://github.com/pockethub/PocketHub,10.0,1,9451
clojure,https://github.com/clojure/clojure,11.0,0,9417
easypermissions,https://github.com/googlesamples/easypermissions,6.0,12,9412
AndroidSlidingUpPanel,https://github.com/umano/AndroidSlidingUpPanel,8.0,8,9401
zaproxy,https://github.com/zaproxy/zaproxy,6.0,257,9382
jsoup,https://github.com/jhy/jsoup,12.0,5,9371
cas,https://github.com/apereo/cas,10.0,215,9333
paascloud-master,https://github.com/paascloud/paascloud-master,4.0,0,9289
spark,https://github.com/perwendel/spark,11.0,0,9280
Mycat-Server,https://github.com/MyCATApache/Mycat-Server,7.0,7,9254
DanmakuFlameMaster,https://github.com/bilibili/DanmakuFlameMaster,8.0,5,9250
MaterialDesignLibrary,https://github.com/navasmdc/MaterialDesignLibrary,7.0,3,9089
MagicIndicator,https://github.com/hackware1993/MagicIndicator,5.0,12,9086
android-gif-drawable,https://github.com/koral--/android-gif-drawable,9.0,56,9056
spring-boot-api-project-seed,https://github.com/lihengming/spring-boot-api-project-seed,4.0,4,9036
storm,https://github.com/nathanmarz/storm,10.0,0,8929
JsBridge,https://github.com/lzyzsd/JsBridge,7.0,0,8892
Java-WebSocket,https://github.com/TooTallNate/Java-WebSocket,12.0,13,8881
Android-PullToRefresh,https://github.com/chrisbanes/Android-PullToRefresh,10.0,0,8777
StatusBarUtil,https://github.com/laobie/StatusBarUtil,6.0,0,8734
OpenRefine,https://github.com/OpenRefine/OpenRefine,9.0,32,8716
newbee-mall,https://github.com/newbee-ltd/newbee-mall,2.0,0,8677
VirtualAPK,https://github.com/didi/VirtualAPK,4.0,4,8649
Calligraphy,https://github.com/chrisjenx/Calligraphy,8.0,4,8620
android-interview-questions,https://github.com/MindorksOpenSource/android-interview-questions,4.0,0,8616
VirtualApp,https://github.com/asLody/VirtualApp,5.0,0,8594
AndroidNote,https://github.com/GcsSloop/AndroidNote,6.0,0,8573
Android_Data,https://github.com/Freelander/Android_Data,7.0,0,8478
Activiti,https://github.com/Activiti/Activiti,9.0,31,8472
AgentWeb,https://github.com/Justson/AgentWeb,4.0,18,8463
BottomBar,https://github.com/roughike/BottomBar,6.0,4,8445
testing-samples,https://github.com/android/testing-samples,7.0,0,8440
CoreNLP,https://github.com/stanfordnlp/CoreNLP,8.0,8,8404
awesome-java-leetcode,https://github.com/Blankj/awesome-java-leetcode,5.0,0,8354
android-gpuimage,https://github.com/cats-oss/android-gpuimage,9.0,0,8337
Sa-Token,https://github.com/dromara/Sa-Token,2.0,23,8330
mall-swarm,https://github.com/macrozheng/mall-swarm,2.0,1,8316
cim,https://github.com/crossoverJie/cim,3.0,7,8279
junit4,https://github.com/junit-team/junit4,13.0,13,8270
questdb,https://github.com/questdb/questdb,8.0,45,8256
buck,https://github.com/facebook/buck,9.0,56,8238
jjwt,https://github.com/jwtk/jjwt,7.0,0,8214
MaterialViewPager,https://github.com/florent37/MaterialViewPager,7.0,11,8207
dropwizard,https://github.com/dropwizard/dropwizard,11.0,114,8162
