name,repo_clone_url,age,releases_number,size,CBO,DIT,LCOM
fresco,https://github.com/facebook/fresco,7.0,45,75008,4.0,14,0.0
graal,https://github.com/oracle/graal,6.0,32,1249844,4.0,235,1.0
cat,https://github.com/dianping/cat,9.0,0,88970,4.0,10,1.0
HikariCP,https://github.com/brettwooldridge/HikariCP,8.0,0,10542,3.0,5,0.0
SpringCloudLearning,https://github.com/forezp/SpringCloudLearning,5.0,0,1135,4.0,2,0.0
tinker,https://github.com/Tencent/tinker,5.0,44,38753,3.0,53,0.0
zheng,https://github.com/shuzheng/zheng,5.0,0,41742,3.0,2,0.0
java8-tutorial,https://github.com/winterbe/java8-tutorial,8.0,0,2081,1.0,1,0.0
shardingsphere,https://github.com/apache/shardingsphere,6.0,46,152540,4.0,7,0.0
zipkin,https://github.com/openzipkin/zipkin,9.0,67,37251,5.0,23,1.0
Android-CleanArchitecture,https://github.com/android10/Android-CleanArchitecture,7.0,0,2260,4.0,3,1.0
lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,5.0,9,550,2.0,2,0.0
springboot-learning-example,https://github.com/JeffLi1993/springboot-learning-example,5.0,0,1641,3.5,3,0.0
disruptor,https://github.com/LMAX-Exchange/disruptor,9.0,13,13018,3.0,8,0.0
Mindustry,https://github.com/Anuken/Mindustry,4.0,134,104445,2.0,30,0.0
SpringBoot-Learning,https://github.com/dyc87112/SpringBoot-Learning,5.0,0,2790,4.0,3,0.0
CircleImageView,https://github.com/hdodenhof/CircleImageView,8.0,0,360,5.0,3,0.0
ARouter,https://github.com/alibaba/ARouter,5.0,16,3165,2.0,4,0.0
Apktool,https://github.com/iBotPeaches/Apktool,10.0,15,11369,4.0,5,3.0
Material-Animations,https://github.com/lgvalle/Material-Animations,7.0,0,1010,2.0,3,0.0
QMUI_Android,https://github.com/Tencent/QMUI_Android,4.0,35,58243,2.0,16,0.0
material-components-android,https://github.com/material-components/material-components-android,5.0,49,79656,4.0,11,1.0
elasticsearch-analysis-ik,https://github.com/medcl/elasticsearch-analysis-ik,10.0,157,2051,4.5,2,1.0
SpringBoot-Labs,https://github.com/YunaiV/SpringBoot-Labs,3.0,0,17749,4.0,4,0.0
presto,https://github.com/prestodb/presto,9.0,0,618030,6.0,25,1.0
leetcode,https://github.com/doocs/leetcode,3.0,19,2735,2.0,2,0.0
logger,https://github.com/orhanobut/logger,7.0,16,827,6.0,2,0.0
JustAuth,https://github.com/justauth/JustAuth,3.0,45,5287,2.0,4,6.0
Android-PickerView,https://github.com/Bigkoo/Android-PickerView,7.0,0,4421,2.0,2,0.0
VirtualXposed,https://github.com/android-hacker/VirtualXposed,4.0,49,47554,2.0,303,0.0
APIJSON,https://github.com/Tencent/APIJSON,5.0,85,10379,3.0,3,6.0
Luban,https://github.com/Curzibn/Luban,5.0,6,1088,1.0,2,1.0
bytecode-viewer,https://github.com/Konloch/bytecode-viewer,7.0,57,18437,3.0,10,0.0
vert.x,https://github.com/eclipse-vertx/vert.x,10.0,0,133532,4.0,12,1.0
mockito,https://github.com/mockito/mockito,9.0,185,47750,2.0,19,0.0
Arduino,https://github.com/arduino/Arduino,11.0,37,25793,2.0,13,0.0
mybatis-plus,https://github.com/baomidou/mybatis-plus,5.0,22,18124,3.0,7,0.0
